,precision,recall,f1-score,support
Fire,0.8823529411764706,1.0,0.9375,15.0
Rain,0.9166666666666666,0.7333333333333333,0.8148148148148148,15.0
Thunderstorm,0.8333333333333334,1.0,0.9090909090909091,15.0
WaterDrops,0.8333333333333334,1.0,0.9090909090909091,15.0
Wind,1.0,0.8666666666666667,0.9285714285714286,15.0
Silence,0.7777777777777778,0.9333333333333333,0.8484848484848485,15.0
TreeFalling,1.0,1.0,1.0,15.0
Helicopter,1.0,0.9333333333333333,0.9655172413793104,15.0
VehicleEngine,0.9375,1.0,0.967741935483871,15.0
Axe,0.5384615384615384,0.4666666666666667,0.5,15.0
Chainsaw,1.0,0.9333333333333333,0.9655172413793104,15.0
Generator,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
Handsaw,1.0,1.0,1.0,15.0
Firework,1.0,1.0,1.0,15.0
Gunshot,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
WoodChop,0.5384615384615384,0.4666666666666667,0.5,15.0
Whistling,1.0,1.0,1.0,15.0
Speaking,0.8823529411764706,1.0,0.9375,15.0
Footsteps,0.875,0.9333333333333333,0.9032258064516129,15.0
Clapping,0.8823529411764706,1.0,0.9375,15.0
Insect,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
Frog,1.0,0.8666666666666667,0.9285714285714286,15.0
BirdChirping,0.8235294117647058,0.9333333333333333,0.875,15.0
WingFlaping,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
Lion,0.9375,1.0,0.967741935483871,15.0
WolfHowl,1.0,0.9333333333333333,0.9655172413793104,15.0
Squirrel,1.0,0.8,0.8888888888888888,15.0
accuracy,0.9012345679012346,0.9012345679012346,0.9012345679012346,0.9012345679012346
macro avg,0.9028766682361454,0.9012345679012347,0.8990097457339868,405.0
weighted avg,0.9028766682361453,0.9012345679012346,0.8990097457339865,405.0
