epoch,train_loss,validation_loss,validation_accuracy,validation_f1,backbone_learning_rate,head_learning_rate
1,1.5186649768195526,0.9085467861513051,0.8205761316872427,0.8116536589300429,1e-05,0.0001
2,0.7327084671077414,0.7565041712772699,0.8666666666666667,0.8594778691488689,9.941519617826906e-06,9.938749494460811e-05
3,0.576715131085596,0.6905043003490432,0.8905349794238683,0.8851389796508975,9.767518452401981e-06,9.756506168568391e-05
4,0.49980744182327647,0.6373934115892576,0.91440329218107,0.9128073573375843,9.482280989894748e-06,9.457757457837132e-05
5,0.45050719843970405,0.6227325325149567,0.9160493827160494,0.9127044933906062,9.092830723281003e-06,9.049859547015365e-05
6,0.4232024265414893,0.6021495517389274,0.9234567901234568,0.9225701984144794,8.608757210636103e-06,8.542856236403076e-05
7,0.40153549480340117,0.5835580406365571,0.9275720164609054,0.9269783184033615,8.04197994838925e-06,7.949231630155056e-05
8,0.3867598088680471,0.5949436641769644,0.9234567901234568,0.9218623903553486,7.406454873762849e-06,7.283602736204247e-05
9,0.37841153888054835,0.5773804511552976,0.9358024691358025,0.9351062624696438,6.717830723281002e-06,6.562359547015366e-05
10,0.3713264401802801,0.5651356246245741,0.9358024691358025,0.9347848476073227,5.993063708941099e-06,5.803261463575151e-05
11,0.3674335804005219,0.5796161086961565,0.9374485596707819,0.9363738908766217,5.250000000000001e-06,5.0250000000000015e-05
12,0.3638557173342371,0.5823723636046358,0.9325102880658436,0.9316990473430518,4.506936291058906e-06,4.246738536424854e-05
13,0.36375358666412133,0.5740848360974111,0.9382716049382716,0.9371769453426023,3.7821692767190004e-06,3.487640452984638e-05
14,0.3612584634818167,0.5749436022813428,0.939917695473251,0.9389789661835699,3.0935451262371532e-06,2.7663972637957553e-05
15,0.36210003838617616,0.5726896162386294,0.9390946502057613,0.938077252597764,2.4580200516107535e-06,2.100768369844947e-05
16,0.36041388852606093,0.5763059793185795,0.9382716049382716,0.9372288091257902,1.8912427893639e-06,1.5071437635969266e-05
17,0.35908270071072834,0.5707272386845247,0.939917695473251,0.9390031067902043,1.4071692767190005e-06,1.0001404529846371e-05
18,0.359716380623633,0.5715187211586125,0.9390946502057613,0.937934969205926,1.0177190101052533e-06,5.9224254216287035e-06
19,0.3589468964333397,0.5718766956172362,0.9423868312757202,0.9413309608261962,7.324815475980209e-07,2.934938314316112e-06
20,0.3586552958429596,0.5745459004194158,0.9407407407407408,0.9396639901762023,5.584803821730962e-07,1.1125050553919016e-06
