,precision,recall,f1-score,support
Fire,0.9183673469387755,1.0,0.9574468085106383,45.0
Rain,1.0,0.9777777777777777,0.9887640449438202,45.0
Thunderstorm,0.9183673469387755,1.0,0.9574468085106383,45.0
WaterDrops,0.9782608695652174,1.0,0.989010989010989,45.0
Wind,0.9782608695652174,1.0,0.989010989010989,45.0
Silence,0.9782608695652174,1.0,0.989010989010989,45.0
TreeFalling,1.0,1.0,1.0,45.0
Helicopter,1.0,0.8222222222222222,0.9024390243902439,45.0
VehicleEngine,0.9130434782608695,0.9333333333333333,0.9230769230769231,45.0
Axe,0.723404255319149,0.7555555555555555,0.7391304347826086,45.0
Chainsaw,0.9782608695652174,1.0,0.989010989010989,45.0
Generator,0.9166666666666666,0.9777777777777777,0.946236559139785,45.0
Handsaw,1.0,1.0,1.0,45.0
Firework,0.9777777777777777,0.9777777777777777,0.9777777777777777,45.0
Gunshot,1.0,0.9555555555555556,0.9772727272727273,45.0
WoodChop,0.7631578947368421,0.6444444444444445,0.6987951807228916,45.0
Whistling,1.0,1.0,1.0,45.0
Speaking,0.9777777777777777,0.9777777777777777,0.9777777777777777,45.0
Footsteps,0.9555555555555556,0.9555555555555556,0.9555555555555556,45.0
Clapping,0.9565217391304348,0.9777777777777777,0.967032967032967,45.0
Insect,0.88,0.9777777777777777,0.9263157894736842,45.0
Frog,1.0,0.9111111111111111,0.9534883720930233,45.0
BirdChirping,1.0,1.0,1.0,45.0
WingFlaping,0.8958333333333334,0.9555555555555556,0.9247311827956989,45.0
Lion,1.0,1.0,1.0,45.0
WolfHowl,1.0,1.0,1.0,45.0
Squirrel,1.0,0.8888888888888888,0.9411764705882353,45.0
accuracy,0.951440329218107,0.951440329218107,0.951440329218107,0.951440329218107
macro avg,0.9522043203961787,0.9514403292181072,0.9507595689069984,1215.0
weighted avg,0.9522043203961787,0.951440329218107,0.9507595689069983,1215.0
