,precision,recall,f1-score,support
Fire,0.75,1.0,0.8571428571428571,15.0
Rain,0.46153846153846156,0.4,0.42857142857142855,15.0
Thunderstorm,0.75,1.0,0.8571428571428571,15.0
WaterDrops,0.75,0.6,0.6666666666666666,15.0
Wind,0.5217391304347826,0.8,0.631578947368421,15.0
Silence,0.65,0.8666666666666667,0.7428571428571429,15.0
TreeFalling,0.8461538461538461,0.7333333333333333,0.7857142857142857,15.0
Helicopter,0.631578947368421,0.8,0.7058823529411765,15.0
VehicleEngine,0.6666666666666666,0.4,0.5,15.0
Axe,0.5555555555555556,0.6666666666666666,0.6060606060606061,15.0
Chainsaw,0.6842105263157895,0.8666666666666667,0.7647058823529411,15.0
Generator,0.5333333333333333,0.5333333333333333,0.5333333333333333,15.0
Handsaw,1.0,0.9333333333333333,0.9655172413793104,15.0
Firework,0.9090909090909091,0.6666666666666666,0.7692307692307693,15.0
Gunshot,0.6875,0.7333333333333333,0.7096774193548387,15.0
WoodChop,0.4166666666666667,0.3333333333333333,0.37037037037037035,15.0
Whistling,0.8125,0.8666666666666667,0.8387096774193549,15.0
Speaking,0.6666666666666666,0.8,0.7272727272727273,15.0
Footsteps,0.8571428571428571,0.8,0.8275862068965517,15.0
Clapping,0.6,0.6,0.6,15.0
Insect,0.7,0.4666666666666667,0.56,15.0
Frog,0.8461538461538461,0.7333333333333333,0.7857142857142857,15.0
BirdChirping,0.6363636363636364,0.4666666666666667,0.5384615384615384,15.0
WingFlaping,0.7142857142857143,0.6666666666666666,0.6896551724137931,15.0
Lion,0.7647058823529411,0.8666666666666667,0.8125,15.0
WolfHowl,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
Squirrel,0.8888888888888888,0.5333333333333333,0.6666666666666666,15.0
accuracy,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037
macro avg,0.7121967764277931,0.7037037037037038,0.6976877836840687,405.0
weighted avg,0.712196776427793,0.7037037037037037,0.6976877836840686,405.0
