,precision,recall,f1-score,support
Fire,0.9230769230769231,1.0,0.96,12.0
Rain,0.8888888888888888,0.6666666666666666,0.7619047619047619,12.0
Thunderstorm,0.8,1.0,0.8888888888888888,12.0
WaterDrops,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
Wind,1.0,0.8333333333333334,0.9090909090909091,12.0
Silence,0.8571428571428571,1.0,0.9230769230769231,12.0
TreeFalling,1.0,1.0,1.0,12.0
Helicopter,1.0,0.9166666666666666,0.9565217391304348,12.0
VehicleEngine,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
Axe,0.5882352941176471,0.8333333333333334,0.6896551724137931,12.0
Chainsaw,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
Generator,0.7692307692307693,0.8333333333333334,0.8,12.0
Handsaw,0.9230769230769231,1.0,0.96,12.0
Firework,0.8,1.0,0.8888888888888888,12.0
Gunshot,1.0,0.8333333333333334,0.9090909090909091,12.0
WoodChop,0.5714285714285714,0.3333333333333333,0.42105263157894735,12.0
Whistling,1.0,1.0,1.0,12.0
Speaking,1.0,0.75,0.8571428571428571,12.0
Footsteps,1.0,1.0,1.0,12.0
Clapping,0.9230769230769231,1.0,0.96,12.0
Insect,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
Frog,1.0,0.75,0.8571428571428571,12.0
BirdChirping,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
WingFlaping,0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0
Lion,0.8571428571428571,1.0,0.9230769230769231,12.0
WolfHowl,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
Squirrel,0.7692307692307693,0.8333333333333334,0.8,12.0
accuracy,0.8765432098765432,0.8765432098765432,0.8765432098765432,0.8765432098765432
macro avg,0.8833401650395115,0.8765432098765431,0.8735944306082045,324.0
weighted avg,0.8833401650395114,0.8765432098765432,0.8735944306082045,324.0
