,precision,recall,f1-score,support
Fire,0.9375,1.0,0.967741935483871,45.0
Rain,0.9375,1.0,0.967741935483871,45.0
Thunderstorm,0.9375,1.0,0.967741935483871,45.0
WaterDrops,1.0,1.0,1.0,45.0
Wind,0.9574468085106383,1.0,0.9782608695652174,45.0
Silence,1.0,1.0,1.0,45.0
TreeFalling,1.0,1.0,1.0,45.0
Helicopter,1.0,0.8444444444444444,0.9156626506024096,45.0
VehicleEngine,0.8936170212765957,0.9333333333333333,0.9130434782608695,45.0
Axe,0.6590909090909091,0.6444444444444445,0.651685393258427,45.0
Chainsaw,1.0,1.0,1.0,45.0
Generator,0.9285714285714286,0.8666666666666667,0.896551724137931,45.0
Handsaw,1.0,1.0,1.0,45.0
Firework,0.9777777777777777,0.9777777777777777,0.9777777777777777,45.0
Gunshot,1.0,0.9111111111111111,0.9534883720930233,45.0
WoodChop,0.717948717948718,0.6222222222222222,0.6666666666666666,45.0
Whistling,1.0,1.0,1.0,45.0
Speaking,0.9,1.0,0.9473684210526315,45.0
Footsteps,0.8958333333333334,0.9555555555555556,0.9247311827956989,45.0
Clapping,0.9565217391304348,0.9777777777777777,0.967032967032967,45.0
Insect,0.86,0.9555555555555556,0.9052631578947369,45.0
Frog,1.0,0.8666666666666667,0.9285714285714286,45.0
BirdChirping,1.0,1.0,1.0,45.0
WingFlaping,0.86,0.9555555555555556,0.9052631578947369,45.0
Lion,1.0,1.0,1.0,45.0
WolfHowl,1.0,1.0,1.0,45.0
Squirrel,1.0,0.8888888888888888,0.9411764705882353,45.0
accuracy,0.9407407407407408,0.9407407407407408,0.9407407407407408,0.9407407407407408
macro avg,0.9414558420607345,0.9407407407407408,0.9398433157275693,1215.0
weighted avg,0.9414558420607346,0.9407407407407408,0.9398433157275691,1215.0
