,precision,recall,f1-score,support
Fire,0.8823529411764706,1.0,0.9375,15.0
Rain,0.9166666666666666,0.7333333333333333,0.8148148148148148,15.0
Thunderstorm,0.8823529411764706,1.0,0.9375,15.0
WaterDrops,0.8333333333333334,1.0,0.9090909090909091,15.0
Wind,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
Silence,0.7777777777777778,0.9333333333333333,0.8484848484848485,15.0
TreeFalling,1.0,0.9333333333333333,0.9655172413793104,15.0
Helicopter,1.0,0.9333333333333333,0.9655172413793104,15.0
VehicleEngine,1.0,1.0,1.0,15.0
Axe,0.4444444444444444,0.26666666666666666,0.3333333333333333,15.0
Chainsaw,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
Generator,0.8666666666666667,0.8666666666666667,0.8666666666666667,15.0
Handsaw,1.0,1.0,1.0,15.0
Firework,1.0,1.0,1.0,15.0
Gunshot,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
WoodChop,0.3888888888888889,0.4666666666666667,0.42424242424242425,15.0
Whistling,1.0,0.9333333333333333,0.9655172413793104,15.0
Speaking,0.8823529411764706,1.0,0.9375,15.0
Footsteps,0.875,0.9333333333333333,0.9032258064516129,15.0
Clapping,0.9375,1.0,0.967741935483871,15.0
Insect,0.8571428571428571,0.8,0.8275862068965517,15.0
Frog,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
BirdChirping,0.8333333333333334,1.0,0.9090909090909091,15.0
WingFlaping,1.0,0.8666666666666667,0.9285714285714286,15.0
Lion,0.9375,1.0,0.967741935483871,15.0
WolfHowl,1.0,0.9333333333333333,0.9655172413793104,15.0
Squirrel,1.0,0.7333333333333333,0.8461538461538461,15.0
accuracy,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
macro avg,0.8905142303835114,0.8888888888888891,0.8858468797933431,405.0
weighted avg,0.8905142303835114,0.8888888888888888,0.8858468797933429,405.0
