,precision,recall,f1-score,support
Axe,0.7209302325581395,0.6888888888888889,0.7045454545454546,45.0
BirdChirping,1.0,1.0,1.0,45.0
Chainsaw,1.0,1.0,1.0,45.0
Clapping,0.9777777777777777,0.9777777777777777,0.9777777777777777,45.0
Fire,0.9183673469387755,1.0,0.9574468085106383,45.0
Firework,0.9777777777777777,0.9777777777777777,0.9777777777777777,45.0
Footsteps,0.9148936170212766,0.9555555555555556,0.9347826086956522,45.0
Frog,1.0,0.8666666666666667,0.9285714285714286,45.0
Generator,0.926829268292683,0.8444444444444444,0.8837209302325582,45.0
Gunshot,1.0,0.9555555555555556,0.9772727272727273,45.0
Handsaw,1.0,1.0,1.0,45.0
Helicopter,1.0,0.8444444444444444,0.9156626506024096,45.0
Insect,0.8823529411764706,1.0,0.9375,45.0
Lion,1.0,1.0,1.0,45.0
Rain,0.9565217391304348,0.9777777777777777,0.967032967032967,45.0
Silence,1.0,1.0,1.0,45.0
Speaking,0.9183673469387755,1.0,0.9574468085106383,45.0
Squirrel,0.975609756097561,0.8888888888888888,0.9302325581395349,45.0
Thunderstorm,0.9375,1.0,0.967741935483871,45.0
TreeFalling,1.0,1.0,1.0,45.0
VehicleEngine,0.8936170212765957,0.9333333333333333,0.9130434782608695,45.0
WaterDrops,0.9782608695652174,1.0,0.989010989010989,45.0
Whistling,1.0,1.0,1.0,45.0
Wind,0.9782608695652174,1.0,0.989010989010989,45.0
WingFlaping,0.86,0.9555555555555556,0.9052631578947369,45.0
WolfHowl,1.0,1.0,1.0,45.0
WoodChop,0.7560975609756098,0.6888888888888889,0.7209302325581395,45.0
accuracy,0.9465020576131687,0.9465020576131687,0.9465020576131687,0.9465020576131687
macro avg,0.9471542268552708,0.9465020576131687,0.9457322696255245,1215.0
weighted avg,0.9471542268552708,0.9465020576131687,0.9457322696255241,1215.0
