fold,nearest_similarity,nearest_same_original_recording,retrieval_activated_at_selected_threshold
1,0.99481237,True,False
2,0.99481237,True,False
5,0.9961934,False,True
3,0.9968177,False,True
5,0.9954569,False,True
1,0.9975132,True,True
1,0.9968424,False,True
2,0.9975132,True,True
4,0.99706715,True,True
4,0.99634266,False,True
3,0.99706715,True,True
5,0.99587286,False,True
2,0.9964349,False,True
4,0.99739224,True,True
2,0.9968424,False,True
1,0.99739224,True,True
2,0.99505496,False,False
4,0.9943896,False,False
3,0.99313533,False,False
2,0.9913114,False,False
3,0.97402763,True,False
4,0.9533597,False,False
4,0.97402763,True,False
1,0.98648727,True,False
1,0.9769592,False,False
5,0.98648727,True,False
2,0.98466635,True,False
1,0.97696507,False,False
5,0.98466635,True,False
5,0.92560434,True,False
4,0.886601,False,False
2,0.92560434,True,False
4,0.8501256,False,False
4,0.81852174,False,False
2,0.91785955,True,False
1,0.6422831,True,False
4,0.91785955,True,False
2,0.9052658,True,False
2,0.6720303,True,False
1,0.9052658,True,False
1,0.91454923,True,False
2,0.62550026,False,False
4,0.91454923,True,False
3,0.62618333,False,False
5,0.9419907,True,False
4,0.9419907,True,False
3,0.5988587,True,False
2,0.63756394,False,False
5,0.69486094,False,False
4,0.90375155,True,False
5,0.62550026,False,False
5,0.90375155,True,False
1,0.9880723,False,False
5,0.98633224,False,False
2,0.9891406,True,False
3,0.99158156,False,False
5,0.9891406,True,False
3,0.9909917,False,False
5,0.9915402,False,False
1,0.9918731,False,False
5,0.9930624,False,False
3,0.9922949,False,False
4,0.9939412,False,False
3,0.99162513,False,False
2,0.9929844,False,False
5,0.99417675,False,False
1,0.99139196,False,False
3,0.9931697,True,False
3,0.99417675,False,False
5,0.9931697,True,False
1,0.991039,False,False
1,0.9930624,False,False
1,0.98885584,False,False
4,0.98970926,False,False
1,0.8858503,False,False
1,0.85869956,False,False
3,0.8901657,False,False
4,0.8567824,False,False
3,0.850801,False,False
1,0.9360299,True,False
4,0.8054737,False,False
4,0.9360299,True,False
1,0.8798976,False,False
4,0.8827802,False,False
2,0.910389,False,False
2,0.9652605,False,False
2,0.97151196,False,False
4,0.9747982,False,False
1,0.9717993,False,False
2,0.9785381,False,False
4,0.97384495,False,False
4,0.97631,False,False
1,0.97564304,False,False
1,0.9731786,False,False
5,0.97730017,False,False
3,0.9779887,False,False
3,0.9776989,False,False
3,0.9808831,False,False
2,0.9817405,False,False
4,0.9808831,False,False
3,0.97859657,False,False
4,0.9817405,False,False
5,0.97564304,False,False
5,0.97859657,False,False
2,0.9727982,False,False
3,0.9733988,False,False
4,0.9882862,False,False
5,0.98214483,False,False
2,0.9808228,False,False
3,0.9923605,False,False
1,0.9885652,False,False
2,0.99009496,False,False
4,0.9923605,False,False
4,0.98851264,False,False
