Source File Name,Original Dataset File Name,Original ID,Class ID,Class Name,Variant,Feature Path,Split,Audio Path
17548__A.wav,1_10101.wav,1_10101,1,Fire,original,outputs\ast_cache\1_10101.npy,train,outputs\wavlm_audio_cache\1_10101__original.npy
17548__A.wav,1_10101.wav,1_10101,1,Fire,pitch_down_2,outputs\ast_pitch_cache\1_10101__pitch_down2.npy,test,outputs\wavlm_audio_cache\1_10101__pitch_down2.npy
17548__A.wav,1_10101.wav,1_10101,1,Fire,pitch_up_2,outputs\ast_pitch_cache\1_10101__pitch_up2.npy,train,outputs\wavlm_audio_cache\1_10101__pitch_up2.npy
17548_B.wav,1_10102.wav,1_10102,1,Fire,original,outputs\ast_cache\1_10102.npy,train,outputs\wavlm_audio_cache\1_10102__original.npy
17548_B.wav,1_10102.wav,1_10102,1,Fire,pitch_down_2,outputs\ast_pitch_cache\1_10102__pitch_down2.npy,train,outputs\wavlm_audio_cache\1_10102__pitch_down2.npy
17548_B.wav,1_10102.wav,1_10102,1,Fire,pitch_up_2,outputs\ast_pitch_cache\1_10102__pitch_up2.npy,train,outputs\wavlm_audio_cache\1_10102__pitch_up2.npy
17548_C.wav,1_10103.wav,1_10103,1,Fire,original,outputs\ast_cache\1_10103.npy,train,outputs\wavlm_audio_cache\1_10103__original.npy
17548_C.wav,1_10103.wav,1_10103,1,Fire,pitch_down_2,outputs\ast_pitch_cache\1_10103__pitch_down2.npy,train,outputs\wavlm_audio_cache\1_10103__pitch_down2.npy
17548_C.wav,1_10103.wav,1_10103,1,Fire,pitch_up_2,outputs\ast_pitch_cache\1_10103__pitch_up2.npy,train,outputs\wavlm_audio_cache\1_10103__pitch_up2.npy
17548_D.wav,1_10104.wav,1_10104,1,Fire,original,outputs\ast_cache\1_10104.npy,train,outputs\wavlm_audio_cache\1_10104__original.npy
17548_D.wav,1_10104.wav,1_10104,1,Fire,pitch_down_2,outputs\ast_pitch_cache\1_10104__pitch_down2.npy,train,outputs\wavlm_audio_cache\1_10104__pitch_down2.npy
17548_D.wav,1_10104.wav,1_10104,1,Fire,pitch_up_2,outputs\ast_pitch_cache\1_10104__pitch_up2.npy,train,outputs\wavlm_audio_cache\1_10104__pitch_up2.npy
