,precision,recall,f1-score,support
Fire,0.7894736842105263,0.3333333333333333,0.46875,45.0
Rain,0.5,0.044444444444444446,0.08163265306122448,45.0
Thunderstorm,0.5,0.37777777777777777,0.43037974683544306,45.0
WaterDrops,0.4307692307692308,0.6222222222222222,0.509090909090909,45.0
Wind,0.2631578947368421,0.1111111111111111,0.15625,45.0
Silence,0.23076923076923078,0.06666666666666667,0.10344827586206896,45.0
TreeFalling,0.48936170212765956,0.5111111111111111,0.5,45.0
Helicopter,0.1724137931034483,0.1111111111111111,0.13513513513513514,45.0
VehicleEngine,0.5,0.08888888888888889,0.1509433962264151,45.0
Axe,0.391304347826087,0.4,0.3956043956043956,45.0
Chainsaw,0.27586206896551724,0.17777777777777778,0.21621621621621623,45.0
Generator,0.23076923076923078,0.06666666666666667,0.10344827586206896,45.0
Handsaw,0.7608695652173914,0.7777777777777778,0.7692307692307693,45.0
Firework,0.7333333333333333,0.24444444444444444,0.36666666666666664,45.0
Gunshot,0.5111111111111111,0.5111111111111111,0.5111111111111111,45.0
WoodChop,0.3235294117647059,0.24444444444444444,0.27848101265822783,45.0
Whistling,0.2732919254658385,0.9777777777777777,0.42718446601941745,45.0
Speaking,0.6666666666666666,0.6222222222222222,0.6436781609195402,45.0
Footsteps,0.7567567567567568,0.6222222222222222,0.6829268292682927,45.0
Clapping,0.45,0.6,0.5142857142857142,45.0
Insect,0.23404255319148937,0.24444444444444444,0.2391304347826087,45.0
Frog,0.2857142857142857,0.17777777777777778,0.2191780821917808,45.0
BirdChirping,0.3584905660377358,0.4222222222222222,0.3877551020408163,45.0
WingFlaping,0.4444444444444444,0.17777777777777778,0.25396825396825395,45.0
Lion,0.41333333333333333,0.6888888888888889,0.5166666666666667,45.0
WolfHowl,0.19576719576719576,0.8222222222222222,0.3162393162393162,45.0
Squirrel,0.5641025641025641,0.4888888888888889,0.5238095238095238,45.0
accuracy,0.39012345679012345,0.39012345679012345,0.39012345679012345,0.39012345679012345
macro avg,0.4350124035623935,0.39012345679012345,0.36671152273157714,1215.0
weighted avg,0.43501240356239357,0.39012345679012345,0.36671152273157714,1215.0
