epoch,train_loss,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,backbone_learning_rate,head_learning_rate
1,3.145745730007627,2.9090219976480114,0.11851851851851852,0.1684207837639219,0.11851851851851851,0.06772990059609997,5e-06,5e-05
2,2.832143747806549,2.707412004274596,0.2074074074074074,0.19904175528542628,0.20740740740740743,0.149870447823112,4.970452017428331e-06,4.9693439680818934e-05
3,2.6142698465060796,2.6281267642974853,0.22798353909465022,0.24060881425231367,0.2279835390946502,0.16272154310630182,4.882535639108369e-06,4.878130725574933e-05
4,2.4483831373261817,2.4142959218947486,0.2872427983539095,0.28727219477597576,0.2872427983539094,0.23194602683272222,4.738415658052083e-06,4.728606245229036e-05
5,2.302675665872087,2.3149718750651482,0.3160493827160494,0.3339162307627595,0.3160493827160494,0.2586893198141269,4.541640786499874e-06,4.52445231599362e-05
6,2.1796198028841136,2.21460504355254,0.3325102880658436,0.34451340898417826,0.33251028806584365,0.27769184092390564,4.297056274847714e-06,4.270695885154504e-05
7,2.076815433512009,2.1804691005636143,0.34238683127572017,0.36856699546416527,0.3423868312757201,0.3013252237074162,4.010684605501936e-06,3.973585278208259e-05
8,1.9922920378883189,2.1066017505563335,0.36378600823045265,0.3584698129306286,0.36378600823045265,0.3258314606970149,3.689577199374913e-06,3.6404363443514724e-05
9,1.9392105128294157,2.1534111479182303,0.35555555555555557,0.3864369095725272,0.3555555555555556,0.3281012209282963,3.3416407864998746e-06,3.27945231599362e-05
10,1.8951073269294614,2.2586649920714734,0.33497942386831275,0.3654867952273544,0.33497942386831275,0.3076700260808942,2.975442716096555e-06,2.899521817950176e-05
11,1.857680007361581,2.131469578360334,0.3860082304526749,0.41963596819646704,0.3860082304526749,0.35453515156721727,2.6000000000000005e-06,2.5100000000000007e-05
12,1.8362691526059751,2.2544033927191434,0.36131687242798355,0.42225115292144977,0.36131687242798355,0.33085397313632803,2.224557283903447e-06,2.1204781820498263e-05
13,1.8029012706176735,2.1600848528583354,0.3720164609053498,0.40893475472133634,0.3720164609053498,0.34463305941412187,1.8583592135001268e-06,1.7405476840063817e-05
14,1.7888584719028002,2.234569005220515,0.36707818930041153,0.4188454857301135,0.36707818930041153,0.3408369698323889,1.5104228006250882e-06,1.3795636556485289e-05
15,1.7583555902595873,2.2756861149038308,0.362962962962963,0.424292974526789,0.36296296296296293,0.33074228997206706,1.189315394498065e-06,1.0464147217917424e-05
16,1.7554480529616399,2.131829267077976,0.39012345679012345,0.4350124035623935,0.39012345679012345,0.36671152273157714,9.029437251522862e-07,7.493041148454969e-06
17,1.7386018565898078,2.196083424807576,0.3786008230452675,0.4019876252784992,0.3786008230452675,0.34934070872251904,6.583592135001265e-07,4.955476840063811e-06
18,1.7266779905484047,2.219696645138195,0.38765432098765434,0.4404982086578189,0.38765432098765434,0.3589362185368327,4.6158434194791733e-07,2.9139375477096426e-06
19,1.7289500273549507,2.1695774744076983,0.39094650205761317,0.43856156464230944,0.39094650205761317,0.36394675882019395,3.1746436089163153e-07,1.4186927442506775e-06
20,1.727133978664139,2.1690751451033132,0.3917695473251029,0.43560525552955265,0.3917695473251029,0.36406644888469825,2.295479825716696e-07,5.065603191810725e-07
